,temp
2018-01-01,	5.223076923
2018-01-11,	4.923076923
2018-01-21,	4.953846154
2018-02-01,	5.261538462
2018-02-11,	5.946153846
2018-02-21,	6.953846154
2018-03-01,	8.292307692
2018-03-11,	10.61538462
2018-03-21,	11.35714286
2018-04-01,	13.09285714
2018-04-11,	13.62142857
2018-04-21,	14.91428571
2018-05-01,	15.90714286
2018-05-11,	17.37857143
2018-05-21,	19.2
2018-06-01,	19.95714286
2018-06-11,	21.59285714
2018-06-21,	23.54285714
2018-07-01,	23.63571429
2018-07-11,	24.23571429
2018-07-21,	24.34285714
2018-08-01,	23.93571429
2018-08-11,	22.80714286
2018-08-21,	22.84285714
2018-09-01,	21.42857143
2018-09-11,	19.13571429
2018-09-21,	18.08571429
2018-10-01,	16.68571429
2018-10-11,	14.18571429
2018-10-21,	13.51428571
2018-11-01,	11.88571429
2018-11-11,	9.835714286
2018-11-21,	7.692857143
2018-12-01,	6.907142857
2018-12-11,	5.485714286
2018-12-21,	5.242857143

