,temp
2018-03-22 00:00:00+00,3.68
2018-03-22 03:00:00+00,2.62
2018-03-22 06:00:00+00,1.1
2018-03-22 09:00:00+00,3.38
2018-03-22 12:00:00+00,4.48
2018-03-22 15:00:00+00,5.95
2018-03-22 18:00:00+00,3.21
2018-03-22 21:00:00+00,0.38
2018-03-23 00:00:00+00,-1.2
2018-03-23 03:00:00+00,-2.07
2018-03-23 06:00:00+00,-1.97
2018-03-23 09:00:00+00,4.67
2018-03-23 12:00:00+00,6.91
2018-03-23 15:00:00+00,7.57
2018-03-23 18:00:00+00,4.92
2018-03-23 21:00:00+00,1.39
2018-03-24 00:00:00+00,-0.12
2018-03-24 03:00:00+00,0.02
2018-03-24 06:00:00+00,1.45
2018-03-24 09:00:00+00,6.24
2018-03-24 12:00:00+00,7.71
2018-03-24 15:00:00+00,8.16
2018-03-24 18:00:00+00,5.99
2018-03-24 21:00:00+00,3.76
2018-03-25 00:00:00+00,1.98
2018-03-25 03:00:00+00,1.21
2018-03-25 06:00:00+00,0.59
2018-03-25 09:00:00+00,6.99
2018-03-25 12:00:00+00,9.01
2018-03-25 15:00:00+00,9.29
2018-03-25 18:00:00+00,6.03
2018-03-25 21:00:00+00,2.08
2018-03-26 00:00:00+00,0.62
2018-03-26 03:00:00+00,-1.12
2018-03-26 06:00:00+00,-0.63
2018-03-26 09:00:00+00,7.09
2018-03-26 12:00:00+00,10.83
2018-03-26 15:00:00+00,12.24
2018-03-26 18:00:00+00,8.21
2018-03-26 21:00:00+00,3.85
